2023-02-07 13:55:24.910000,Vladimirs77nt,Владимир,С,комплексные числа,(1+2j),(2+3j),Деление (/),(0.6153846153846154+0.07692307692307691j)
2023-02-07 13:55:38.748117,Vladimirs77nt,Владимир,С,рациональные числа,5/6,8/7,Целочисленное деление (//),0
2023-02-07 13:56:00.780080,Vladimirs77nt,Владимир,С,рациональные числа,87/23,12/5,Остаток от деления (%),159/115
2023-02-07 13:56:51.207435,Vladimirs77nt,Владимир,С,рациональные числа,87/13,61/3,Деление (/),261/793
2023-02-07 14:04:48.428104,Vladimirs77nt,Владимир,С,комплексные числа,(44+55j),(66+77j),Деление (/),(0.6941176470588237+0.023529411764705854j)
2023-02-07 14:07:14.981612,Vladimirs77nt,Владимир,С,рациональные числа,1/2,2/3,Сложение (+),7/6
2023-02-07 14:07:47.133404,Vladimirs77nt,Владимир,С,рациональные числа,1/2,2/3,Сложение (+),7/6
2023-02-07 14:28:34.516887,Vladimirs77nt,Владимир,С,рациональные числа,2/3,4/5,Сложение (+),22/15
2023-02-07 14:28:58.031484,Vladimirs77nt,Владимир,С,рациональные числа,2/3,6/7,Деление (/),7/9
2023-02-07 14:29:18.411518,Vladimirs77nt,Владимир,С,комплексные числа,(3+3j),(5+5j),Умножение (х),30j
2023-02-07 14:29:31.161648,Vladimirs77nt,Владимир,С,комплексные числа,(3+5j),(6+7j),Деление (/),(0.6235294117647059+0.10588235294117647j)
